"Scope","TargetIP","AdapterMatch","PropertyDisplayName","RegistryKeyword","CurrentValue","TargetValue","Apply","Notes"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz","","HardwareVersion","","","FALSE","Generated from discovery across 2 target(s). Targets: 192.168.22.221, 192.168.22.223"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz","","HePhyCapabilitiesDword0","","","FALSE","Generated from discovery across 2 target(s). Targets: 192.168.22.221, 192.168.22.223"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz","Transmit Power","IbssTxPower","5. Highest","","FALSE","Generated from discovery across 2 target(s). Targets: 192.168.22.221, 192.168.22.223 PossibleDisplayValues: 1. Lowest; 2. Medium-low; 3. Medium; 4. Medium-High; 5. Highest PossibleRegistryValues: 0; 25; 50; 75; 100"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz","802.11n/ac/ax/be Wireless Mode","IEEE11nMode","5. 802.11be","","FALSE","Generated from discovery across 2 target(s). Targets: 192.168.22.221, 192.168.22.223 PossibleDisplayValues: 1. Disabled; 2. 802.11n; 3. 802.11ac; 4. 802.11ax; 5. 802.11be PossibleRegistryValues: 0; 1; 2; 3; 4"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz","","IfTypePreStart","","","FALSE","Generated from discovery across 2 target(s). Targets: 192.168.22.221, 192.168.22.223"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz","","InfPath","","","FALSE","Generated from discovery across 2 target(s). Targets: 192.168.22.221, 192.168.22.223"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz","","InfSection","","","FALSE","Generated from discovery across 2 target(s). Targets: 192.168.22.221, 192.168.22.223"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz","Ultra High Band (6GHz)","Is6GhzBandSupported","Enabled","","FALSE","Generated from discovery across 2 target(s). Targets: 192.168.22.221, 192.168.22.223 PossibleDisplayValues: Disabled; Enabled PossibleRegistryValues: 0; 1"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz","","LastIoMapSuccessBarHigh","","","FALSE","Generated from discovery across 2 target(s). Targets: 192.168.22.221, 192.168.22.223"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz","","LastIoMapSuccessBarLow","","","FALSE","Generated from discovery across 2 target(s). Targets: 192.168.22.221, 192.168.22.223"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz","","LprxEnable","","","FALSE","Generated from discovery across 2 target(s). Targets: 192.168.22.221, 192.168.22.223"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz","","MatchingDeviceId","","","FALSE","Generated from discovery across 2 target(s). Targets: 192.168.22.221, 192.168.22.223"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz","","MaxDpcTime","","","FALSE","Generated from discovery across 2 target(s). Targets: 192.168.22.221, 192.168.22.223"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz","MIMO Power Save Mode","MIMOPowerSaveMode","Auto SMPS","","FALSE","Generated from discovery across 2 target(s). Targets: 192.168.22.221, 192.168.22.223 PossibleDisplayValues: Auto SMPS; Static SMPS; Dynamic SMPS; No SMPS PossibleRegistryValues: 0; 1; 2; 3"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz","","ModulationType","","","FALSE","Generated from discovery across 2 target(s). Targets: 192.168.22.221, 192.168.22.223"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz","","NetCfgInstanceId","","","FALSE","Generated from discovery across 2 target(s). Targets: 192.168.22.221, 192.168.22.223"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz","","NetLuidIndex","","","FALSE","Generated from discovery across 2 target(s). Targets: 192.168.22.221, 192.168.22.223"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz","","NetworkInterfaceInstallTimestamp","","","FALSE","Generated from discovery across 2 target(s). Targets: 192.168.22.221, 192.168.22.223"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz","","NumberOfNetworkInterfaces","","","FALSE","Generated from discovery across 2 target(s). Targets: 192.168.22.221, 192.168.22.223"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz","","PanEnabled","","","FALSE","Generated from discovery across 2 target(s). Targets: 192.168.22.221, 192.168.22.223"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz","","PBANumber","","","FALSE","Generated from discovery across 2 target(s). Targets: 192.168.22.221, 192.168.22.223"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz","","PldrResetCounter","","","FALSE","Generated from discovery across 2 target(s). Targets: 192.168.22.221, 192.168.22.223"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz","","PortAuthReceiveAuthorizationState","","","FALSE","Generated from discovery across 2 target(s). Targets: 192.168.22.221, 192.168.22.223"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz","","PortAuthReceiveControlState","","","FALSE","Generated from discovery across 2 target(s). Targets: 192.168.22.221, 192.168.22.223"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz","","PortAuthSendAuthorizationState","","","FALSE","Generated from discovery across 2 target(s). Targets: 192.168.22.221, 192.168.22.223"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz","","PortAuthSendControlState","","","FALSE","Generated from discovery across 2 target(s). Targets: 192.168.22.221, 192.168.22.223"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz","","ProviderName","","","FALSE","Generated from discovery across 2 target(s). Targets: 192.168.22.221, 192.168.22.223"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz","","RadioEnable","","","FALSE","Generated from discovery across 2 target(s). Targets: 192.168.22.221, 192.168.22.223"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz","","RecommendedBeaconInterval","","","FALSE","Generated from discovery across 2 target(s). Targets: 192.168.22.221, 192.168.22.223"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz","Roaming Aggressiveness","RoamAggressiveness","3. Medium","","FALSE","Generated from discovery across 2 target(s). Targets: 192.168.22.221, 192.168.22.223 PossibleDisplayValues: 1. Lowest; 2. Medium-low; 3. Medium; 4. Medium-High; 5. Highest PossibleRegistryValues: 0; 1; 2; 3; 4"
