"ComputerName","TargetIP","AdapterName","InterfaceDescription","PropertyDisplayName","RegistryKeyword","CurrentDisplayValue","RegistryValue","PossibleDisplayValues","PossibleRegistryValues"
"ADMIN","192.168.22.221","Wi-Fi","Intel(R) Wi-Fi 7 BE200 320MHz",,"*TCPChecksumOffloadIPv6",,"3","",""
"ADMIN","192.168.22.221","Wi-Fi","Intel(R) Wi-Fi 7 BE200 320MHz",,"*UDPChecksumOffloadIPv4",,"3","",""
"ADMIN","192.168.22.221","Wi-Fi","Intel(R) Wi-Fi 7 BE200 320MHz",,"*UDPChecksumOffloadIPv6",,"3","",""
"ADMIN","192.168.22.221","Wi-Fi","Intel(R) Wi-Fi 7 BE200 320MHz",,"*LsoV2IPv4",,"1","",""
"ADMIN","192.168.22.221","Wi-Fi","Intel(R) Wi-Fi 7 BE200 320MHz",,"*LsoV2IPv6",,"1","",""
"ADMIN","192.168.22.221","Wi-Fi","Intel(R) Wi-Fi 7 BE200 320MHz","RSCv4","*RscIPv4","Enabled","1","Disabled; Enabled","0; 1"
"ADMIN","192.168.22.221","Wi-Fi","Intel(R) Wi-Fi 7 BE200 320MHz","RSCv6","*RscIPv6","Enabled","1","Disabled; Enabled","0; 1"
"ADMIN","192.168.22.221","Wi-Fi","Intel(R) Wi-Fi 7 BE200 320MHz",,"*UsoIPv4",,"1","",""
"ADMIN","192.168.22.221","Wi-Fi","Intel(R) Wi-Fi 7 BE200 320MHz",,"*UsoIPv6",,"1","",""
"ADMIN","192.168.22.221","Wi-Fi","Intel(R) Wi-Fi 7 BE200 320MHz",,"FixedSupportedHtRates",,"65535","",""
"ADMIN","192.168.22.221","Wi-Fi","Intel(R) Wi-Fi 7 BE200 320MHz",,"SystemAllowedAntennas",,"771","",""
"ADMIN","192.168.22.221","Wi-Fi","Intel(R) Wi-Fi 7 BE200 320MHz",,"SKU_CAP",,"31","",""
"ADMIN","192.168.22.221","Wi-Fi","Intel(R) Wi-Fi 7 BE200 320MHz",,"HePhyCapabilitiesDword0",,"4337678","",""
"ADMIN","192.168.22.221","Wi-Fi","Intel(R) Wi-Fi 7 BE200 320MHz",,"CLSGUID",,"{21a4c8f1-1e96-4928-963a-d96e9679be22}","",""
"ADMIN","192.168.22.221","Wi-Fi","Intel(R) Wi-Fi 7 BE200 320MHz",,"AdapterModel",,"Intel(R) Wi-Fi 7 BE200 320MHz","",""
"ADMIN","192.168.22.221","Wi-Fi","Intel(R) Wi-Fi 7 BE200 320MHz",,"*IfType",,"71","",""
"ADMIN","192.168.22.221","Wi-Fi","Intel(R) Wi-Fi 7 BE200 320MHz",,"*MediaType",,"16","",""
"ADMIN","192.168.22.221","Wi-Fi","Intel(R) Wi-Fi 7 BE200 320MHz",,"*PhysicalMediaType",,"9","",""
"ADMIN","192.168.22.221","Wi-Fi","Intel(R) Wi-Fi 7 BE200 320MHz",,"BusType",,"5","",""
"ADMIN","192.168.22.221","Wi-Fi","Intel(R) Wi-Fi 7 BE200 320MHz",,"Characteristics",,"132","",""
"ADMIN","192.168.22.221","Wi-Fi","Intel(R) Wi-Fi 7 BE200 320MHz",,"NumberOfNetworkInterfaces",,"5","",""
"ADMIN","192.168.22.221","Wi-Fi","Intel(R) Wi-Fi 7 BE200 320MHz","Throughput Booster","ThroughputBoosterEnabled","Disabled","0","Disabled; Enabled","0; 1"
"ADMIN","192.168.22.221","Wi-Fi","Intel(R) Wi-Fi 7 BE200 320MHz","802.11a/b/g Wireless Mode","WirelessMode","6. Dual Band 802.11a/b/g","34","1. 5GHz  802.11a; 2. 2.4GHz 802.11b; 3. 2.4GHz 802.11g; 4. 2.4GHz 802.11b/g; 5. Dual Band 802.11a/g; 6. Dual Band 802.11a/b/g","17; 0; 16; 32; 18; 34"
"ADMIN","192.168.22.221","Wi-Fi","Intel(R) Wi-Fi 7 BE200 320MHz","Preferred Band","RoamingPreferredBandType","4. Prefer 6GHz band","3","1. No Preference; 2. Prefer 2.4GHz band; 3. Prefer 5GHz band; 4. Prefer 6GHz band; 5. Prefer 5GHz + 6GHz band","0; 1; 2; 3; 4"
"ADMIN","192.168.22.221","Wi-Fi","Intel(R) Wi-Fi 7 BE200 320MHz","Transmit Power","IbssTxPower","5. Highest","100","1. Lowest; 2. Medium-low; 3. Medium; 4. Medium-High; 5. Highest","0; 25; 50; 75; 100"
"ADMIN","192.168.22.221","Wi-Fi","Intel(R) Wi-Fi 7 BE200 320MHz","Roaming Aggressiveness","RoamAggressiveness","3. Medium","2","1. Lowest; 2. Medium-low; 3. Medium; 4. Medium-High; 5. Highest","0; 1; 2; 3; 4"
"ADMIN","192.168.22.221","Wi-Fi","Intel(R) Wi-Fi 7 BE200 320MHz","Fat Channel Intolerant","FatChannelIntolerant","Disabled","0","Disabled; Enabled","0; 1"
"ADMIN","192.168.22.221","Wi-Fi","Intel(R) Wi-Fi 7 BE200 320MHz","Wake on Pattern Match","*WakeOnPattern","Enabled","1","Disabled; Enabled","0; 1"
"ADMIN","192.168.22.221","Wi-Fi","Intel(R) Wi-Fi 7 BE200 320MHz","Wake on Magic Packet","*WakeOnMagicPacket","Enabled","1","Disabled; Enabled","0; 1"
"ADMIN","192.168.22.221","Wi-Fi","Intel(R) Wi-Fi 7 BE200 320MHz","GTK rekeying for WoWLAN","*PMWiFiRekeyOffload","Enabled","1","Disabled; Enabled","0; 1"
"ADMIN","192.168.22.221","Wi-Fi","Intel(R) Wi-Fi 7 BE200 320MHz","ARP offload for WoWLAN","*PMARPOffload","Enabled","1","Disabled; Enabled","0; 1"
"ADMIN","192.168.22.221","Wi-Fi","Intel(R) Wi-Fi 7 BE200 320MHz","NS offload for WoWLAN","*PMNSOffload","Enabled","1","Disabled; Enabled","0; 1"
"ADMIN","192.168.22.221","Wi-Fi","Intel(R) Wi-Fi 7 BE200 320MHz","Sleep on WoWLAN Disconnect","*DeviceSleepOnDisconnect","Disabled","0","Disabled; Enabled","0; 1"
"ADMIN","192.168.22.221","Wi-Fi","Intel(R) Wi-Fi 7 BE200 320MHz","MIMO Power Save Mode","MIMOPowerSaveMode","Auto SMPS","0","Auto SMPS; Static SMPS; Dynamic SMPS; No SMPS","0; 1; 2; 3"
"ADMIN","192.168.22.221","Wi-Fi","Intel(R) Wi-Fi 7 BE200 320MHz","Packet Coalescing","*PacketCoalescing","Enabled","1","Disabled; Enabled","0; 1"
"ADMIN","192.168.22.221","Wi-Fi","Intel(R) Wi-Fi 7 BE200 320MHz","802.11n/ac/ax/be Wireless Mode","IEEE11nMode","5. 802.11be","4","1. Disabled; 2. 802.11n; 3. 802.11ac; 4. 802.11ax; 5. 802.11be","0; 1; 2; 3; 4"
"ADMIN","192.168.22.221","Wi-Fi","Intel(R) Wi-Fi 7 BE200 320MHz","Channel Width for 6GHz","ChannelWidth6","Auto","1","20 MHz Only; Auto","0; 1"
"ADMIN","192.168.22.221","Wi-Fi","Intel(R) Wi-Fi 7 BE200 320MHz","Ultra High Band (6GHz)","Is6GhzBandSupported","Disabled","0","Disabled; Enabled","0; 1"
"ADMIN","192.168.22.221","Wi-Fi","Intel(R) Wi-Fi 7 BE200 320MHz",,"IfTypePreStart",,"71","",""
"ADMIN","192.168.22.221","Wi-Fi","Intel(R) Wi-Fi 7 BE200 320MHz",,"NetworkInterfaceInstallTimestamp",,"134181541338827593","",""
"ADMIN","192.168.22.221","Wi-Fi","Intel(R) Wi-Fi 7 BE200 320MHz",,"PortAuthReceiveAuthorizationState",,"1","",""
"ADMIN","192.168.22.221","Wi-Fi","Intel(R) Wi-Fi 7 BE200 320MHz",,"PortAuthSendAuthorizationState",,"1","",""
"ADMIN","192.168.22.221","Wi-Fi","Intel(R) Wi-Fi 7 BE200 320MHz",,"PortAuthReceiveControlState",,"2","",""
"ADMIN","192.168.22.221","Wi-Fi","Intel(R) Wi-Fi 7 BE200 320MHz",,"PortAuthSendControlState",,"2","",""
"ADMIN","192.168.22.221","Wi-Fi","Intel(R) Wi-Fi 7 BE200 320MHz",,"DeviceInstanceID",,"PCI\VEN_8086&DEV_272B&SUBSYS_00F48086&REV_1A\4&135aecd5&0&00E9","",""
"ADMIN","192.168.22.221","Wi-Fi","Intel(R) Wi-Fi 7 BE200 320MHz",,"ComponentId",,"PCI\VEN_8086&DEV_272B&SUBSYS_00F48086","",""
"ADMIN","192.168.22.221","Wi-Fi","Intel(R) Wi-Fi 7 BE200 320MHz",,"NetCfgInstanceId",,"{BAEE0204-20F4-4795-98AB-258BBBB6DC89}","",""
"ADMIN","192.168.22.221","Wi-Fi","Intel(R) Wi-Fi 7 BE200 320MHz",,"NetLuidIndex",,"32768","",""
"ADMIN","192.168.22.221","Wi-Fi","Intel(R) Wi-Fi 7 BE200 320MHz",,"LastIoMapSuccessBarLow",,"2219819008","",""
"ADMIN","192.168.22.221","Wi-Fi","Intel(R) Wi-Fi 7 BE200 320MHz",,"LastIoMapSuccessBarHigh",,"0","",""
"ADMIN","192.168.22.221","Wi-Fi","Intel(R) Wi-Fi 7 BE200 320MHz",,"SoftwareRadioOff",,"0","",""
"ADMIN","192.168.22.221","Wi-Fi","Intel(R) Wi-Fi 7 BE200 320MHz",,"HardwareVersion",,"2.1.77","",""
"ADMIN","192.168.22.221","Wi-Fi","Intel(R) Wi-Fi 7 BE200 320MHz",,"UcodeVersion",,"0.00","",""
"ADMIN","192.168.22.221","Wi-Fi","Intel(R) Wi-Fi 7 BE200 320MHz",,"PBANumber",,"7158009","",""
"ADMIN","192.168.22.221","Wi-Fi","Intel(R) Wi-Fi 7 BE200 320MHz",,"ChannelMaskBand52",,"4294967210","",""
"ADMIN","192.168.22.221","Wi-Fi","Intel(R) Wi-Fi 7 BE200 320MHz",,"ChannelMaskBand52J",,"0","",""
"ADMIN","192.168.22.221","Wi-Fi","Intel(R) Wi-Fi 7 BE200 320MHz",,"ChannelMaskBand24B",,"8191","",""
"ADMIN","192.168.22.221","Wi-Fi","Intel(R) Wi-Fi 7 BE200 320MHz",,"ChannelMaskBand24G",,"8191","",""
"ADMIN","192.168.22.221","Wi-Fi","Intel(R) Wi-Fi 7 BE200 320MHz",,"DrvInitInProg",,"0","",""
"ADMIN","192.168.22.221","Wi-Fi","Intel(R) Wi-Fi 7 BE200 320MHz",,"PldrResetCounter",,"3","",""
"ADMIN","192.168.22.221","Wi-Fi","Intel(R) Wi-Fi 7 BE200 320MHz",,"SwRadioState",,"1","",""
"ADMIN","192.168.22.221","Wi-Fi","Intel(R) Wi-Fi 7 BE200 320MHz","Channel-Load usage for AP Selection","EnableChLoad4ApSelection","Enabled","1","Disabled; Enabled","0; 1"
