"Scope","TargetIP","AdapterMatch","PropertyDisplayName","RegistryKeyword","CurrentValue","TargetValue","Apply","Notes"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz","802.11a/b/g Wireless Mode","WirelessMode","6. Dual Band 802.11a/b/g","","FALSE","Generated from discovery across 1 target(s). Targets: 192.168.22.223 PossibleDisplayValues: 1. 5GHz  802.11a; 2. 2.4GHz 802.11b; 3. 2.4GHz 802.11g; 4. 2.4GHz 802.11b/g; 5. Dual Band 802.11a/g; 6. Dual Band 802.11a/b/g PossibleRegistryValues: 17; 0; 16; 32; 18; 34"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz #6","Sleep on WoWLAN Disconnect","*DeviceSleepOnDisconnect","Disabled","","FALSE","Generated from discovery across 6 target(s). Targets: 192.168.22.222, 192.168.22.224, 192.168.22.225, 192.168.22.226, 192.168.22.227, 192.168.22.228 PossibleDisplayValues: Disabled; Enabled PossibleRegistryValues: 0; 1"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz #6","","*IfType","","","FALSE","Generated from discovery across 6 target(s). Targets: 192.168.22.222, 192.168.22.224, 192.168.22.225, 192.168.22.226, 192.168.22.227, 192.168.22.228"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz #6","","*IPChecksumOffloadIPv4","","","FALSE","Generated from discovery across 6 target(s). Targets: 192.168.22.222, 192.168.22.224, 192.168.22.225, 192.168.22.226, 192.168.22.227, 192.168.22.228"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz #6","","*LsoV2IPv4","","","FALSE","Generated from discovery across 6 target(s). Targets: 192.168.22.222, 192.168.22.224, 192.168.22.225, 192.168.22.226, 192.168.22.227, 192.168.22.228"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz #6","","*LsoV2IPv6","","","FALSE","Generated from discovery across 6 target(s). Targets: 192.168.22.222, 192.168.22.224, 192.168.22.225, 192.168.22.226, 192.168.22.227, 192.168.22.228"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz #6","","*MediaType","","","FALSE","Generated from discovery across 6 target(s). Targets: 192.168.22.222, 192.168.22.224, 192.168.22.225, 192.168.22.226, 192.168.22.227, 192.168.22.228"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz #6","","*MiracastSupported","","","FALSE","Generated from discovery across 6 target(s). Targets: 192.168.22.222, 192.168.22.224, 192.168.22.225, 192.168.22.226, 192.168.22.227, 192.168.22.228"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz #6","Packet Coalescing","*PacketCoalescing","Enabled","","FALSE","Generated from discovery across 6 target(s). Targets: 192.168.22.222, 192.168.22.224, 192.168.22.225, 192.168.22.226, 192.168.22.227, 192.168.22.228 PossibleDisplayValues: Disabled; Enabled PossibleRegistryValues: 0; 1"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz #6","","*PhysicalMediaType","","","FALSE","Generated from discovery across 6 target(s). Targets: 192.168.22.222, 192.168.22.224, 192.168.22.225, 192.168.22.226, 192.168.22.227, 192.168.22.228"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz #6","ARP offload for WoWLAN","*PMARPOffload","Enabled","","FALSE","Generated from discovery across 6 target(s). Targets: 192.168.22.222, 192.168.22.224, 192.168.22.225, 192.168.22.226, 192.168.22.227, 192.168.22.228 PossibleDisplayValues: Disabled; Enabled PossibleRegistryValues: 0; 1"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz #6","NS offload for WoWLAN","*PMNSOffload","Enabled","","FALSE","Generated from discovery across 6 target(s). Targets: 192.168.22.222, 192.168.22.224, 192.168.22.225, 192.168.22.226, 192.168.22.227, 192.168.22.228 PossibleDisplayValues: Disabled; Enabled PossibleRegistryValues: 0; 1"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz #6","GTK rekeying for WoWLAN","*PMWiFiRekeyOffload","Enabled","","FALSE","Generated from discovery across 6 target(s). Targets: 192.168.22.222, 192.168.22.224, 192.168.22.225, 192.168.22.226, 192.168.22.227, 192.168.22.228 PossibleDisplayValues: Disabled; Enabled PossibleRegistryValues: 0; 1"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz #6","RSCv4","*RscIPv4","Enabled","","FALSE","Generated from discovery across 6 target(s). Targets: 192.168.22.222, 192.168.22.224, 192.168.22.225, 192.168.22.226, 192.168.22.227, 192.168.22.228 PossibleDisplayValues: Disabled; Enabled PossibleRegistryValues: 0; 1"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz #6","RSCv6","*RscIPv6","Enabled","","FALSE","Generated from discovery across 6 target(s). Targets: 192.168.22.222, 192.168.22.224, 192.168.22.225, 192.168.22.226, 192.168.22.227, 192.168.22.228 PossibleDisplayValues: Disabled; Enabled PossibleRegistryValues: 0; 1"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz #6","","*TCPChecksumOffloadIPv4","","","FALSE","Generated from discovery across 6 target(s). Targets: 192.168.22.222, 192.168.22.224, 192.168.22.225, 192.168.22.226, 192.168.22.227, 192.168.22.228"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz #6","","*TCPChecksumOffloadIPv6","","","FALSE","Generated from discovery across 6 target(s). Targets: 192.168.22.222, 192.168.22.224, 192.168.22.225, 192.168.22.226, 192.168.22.227, 192.168.22.228"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz #6","","*UDPChecksumOffloadIPv4","","","FALSE","Generated from discovery across 6 target(s). Targets: 192.168.22.222, 192.168.22.224, 192.168.22.225, 192.168.22.226, 192.168.22.227, 192.168.22.228"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz #6","","*UDPChecksumOffloadIPv6","","","FALSE","Generated from discovery across 6 target(s). Targets: 192.168.22.222, 192.168.22.224, 192.168.22.225, 192.168.22.226, 192.168.22.227, 192.168.22.228"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz #6","","*UsoIPv4","","","FALSE","Generated from discovery across 6 target(s). Targets: 192.168.22.222, 192.168.22.224, 192.168.22.225, 192.168.22.226, 192.168.22.227, 192.168.22.228"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz #6","","*UsoIPv6","","","FALSE","Generated from discovery across 6 target(s). Targets: 192.168.22.222, 192.168.22.224, 192.168.22.225, 192.168.22.226, 192.168.22.227, 192.168.22.228"
"ALL","","Intel(R) Wi-Fi 7 BE200 320MHz #6","Wake on Magic Packet","*WakeOnMagicPacket","Enabled","","FALSE","Generated from discovery across 6 target(s). Targets: 192.168.22.222, 192.168.22.224, 192.168.22.225, 192.168.22.226, 192.168.22.227, 192.168.22.228 PossibleDisplayValues: Disabled; Enabled PossibleRegistryValues: 0; 1"
